1	1	0.119089378	0.325528517	0.162468689	0.079583855	0.055262124	0.281438194	
1	2	0.203436426	0.244779022	0.194574288	0.074400841	0.091234614	0.212057482	
1	3	0.038447532	0.241170217	0.048276658	0.051074312	0.078591646	0.544888839	
1	4	0.057816357	0.218839656	0.06905851	0.039889085	0.067046419	0.553923984	
1	5	0	0.169037573	0.059315389	0.054777899	0.084772434	0.649001863	
1	6	0.044316209	0.27959183	0.111265832	0.095706809	0.051752047	0.459858057	
1	8	0.011985284	0.15674243	0.029433367	0.026672938	0.106640619	0.646762445	
1	9	0.036731963	0.09846773	0.065774323	0.036430712	0.074315457	0.691009263	
1	10	0.032646749	0.135324645	0.000794704	0.032700465	0.079960824	0.721231748	
1	11	0	0.150556321	0.047837354	0.007250521	0.107392744	0.644534658	
1	12	0.088603352	0.175040216	0.023359602	0.058682933	0.077873281	0.597314138	
1	13	0.037883751	0.1536642	0.039904009	0.100648533	0.050722793	0.639203236	
1	14	0.065441294	0.109535259	0.030746505	0.086492936	0.064280906	0.663215727	
1	15	0.053414159	0.227290751	0.035991779	0.02803075	0.043718087	0.624485767	
1	16	0.072718899	0.211243384	0.098807084	0.023967297	0.046782145	0.560861003	
1	17	0.163182097	0.175766349	0.054703403	0.052254067	0.080320875	0.500393031	
1	33	0.024164488	0.118134523	0.07082852	0.029203451	0.098863892	0.676490223	
1	34	0.091537177	0.165818859	0.116423304	0.04286905	0.079245941	0.524516717	
1	35	0.040311444	0.109695489	0.005284848	0.025421696	0.140702185	0.683687354	
1	36	0.060596353	0.136626775	0	0.02518173	0.127285113	0.657779366	
1	37	0.027907715	0.162499315	0.111604625	0.019411612	0.077149655	0.59553557	
1	46	0.003345481	0.259479091	0.05975797	0.046598211	0.04973409	0.584544463	
2	1	0.085528601	0.194824328	0.134719162	0.048311243	0.107505973	0.420931789	
2	2	0.108750645	0.342221855	0.131640991	0.083257725	0.088439665	0.263397899	
2	3	0.153351818	0.329569516	0.039500891	0.114705775	0.062226926	0.338825883	
2	4	0.077781114	0.087140857	0.025265318	0.046222677	0.074611079	0.704977955	
2	5	0.031695617	0.143759517	0.016080187	0.013159992	0.130439757	0.632046429	
2	7	0.019146272	0.14112372	0.028521407	0.039745455	0.069242311	0.714594103	
