1	1	0.2671	0.4243	0.893	0.9243	0.9567	0.9607	0.732	0.5103	0.0894	0.053	0.0904	0.5561
1	2	0.2276	0.3645	0.8945	0.9139	0.8825	0.927	0.7612	0.5316	0.0774	0.0532	0.0721	0.4932
1	3	0.237	0.4275	0.8875	0.9148	0.9331	0.9483	0.7869	0.5396	0.0979	0.0635	0.119	0.6108
1	4	0.2892	0.4209	0.9027	0.9108	0.8922	0.9677	0.744	0.4924	0.0942	0.0629	0.1283	0.6115
1	5	0.2571	0.3707	0.8872	0.8628	0.9189	0.9631	0.8775	0.5584	0.0894	0.0613	0.0993	0.6991
1	6	0.2624	0.3816	0.9085	0.8672	0.9337	0.9557	0.8739	0.5619	0.0837	0.0568	0.1139	0.6212
1	8	0.2819	0.41	0.9004	0.9201	0.932	0.9589	0.7482	0.4567	0.0804	0.0557	0.116	0.5511
1	9	0.2491	0.3604	0.8993	0.926	0.9408	0.9514	0.7448	0.5289	0.0774	0.0524	0.0826	0.4878
1	10	0.2063	0.3732	0.9076	0.9203	0.9152	0.9471	0.7486	0.484	0.5713	0.047	0.1056	0.5211
1	11	0.268	0.4031	0.891	0.8591	0.9197	0.9498	0.7681	0.5398	0.0887	0.0529	0.1014	0.5456
1	12	0.2526	0.4032	0.8885	0.8012	0.9179	0.9525	0.8278	0.5654	0.0788	0.0615	0.1293	0.5605
1	13	0.2245	0.3435	0.8959	0.9147	0.9361	0.9451	0.8644	0.4759	0.1234	0.0618	0.0928	0.6557
1	14	0.2524	0.3535	0.8917	0.9069	0.9238	0.9505	0.8562	0.5876	0.1472	0.0587	0.0662	0.5647
1	15	0.2706	0.3651	0.8819	0.921	0.9209	0.951	0.8487	0.4929	0.1077	0.0519	0.0851	0.5385
1	16	0.2634	0.393	0.8946	0.8818	0.9245	0.9517	0.6836	0.5249	0.1129	0.0636	0.086	0.5694
1	17	0.2422	0.3678	0.9077	0.9214	0.9416	0.9586	0.8793	0.5601	0.0759	0.056	0.0915	0.5808
1	33	0.2393	0.4083	0.9029	0.9127	0.9229	0.9605	0.7814	0.5415	0.0796	0.0509	0.0677	0.5986
1	34	0.2876	0.407	0.8993	0.8216	0.9263	0.955	0.7822	0.4735	0.6968	0.0554	0.0363	0.6244
1	35	0.2724	0.3291	0.8896	0.834	0.9276	0.9525	0.7789	0.5054	0.6267	0.055	0.0857	0.4831
1	36	0.2261	0.3711	0.9007	0.8944	0.9326	0.9615	0.7402	0.4698	0.6008	0.049	0.0402	0.6
1	37	0.2639	0.3646	0.894	0.9162	0.9267	0.948	0.7879	0.5352	0.1267	0.0552	0.1302	0.5603
2	1	0.2655	0.4061	0.8875	0.8893	0.9209	0.9547	0.7464	0.4739	0.1046	0.0594	0.0362	0.5478
2	2	0.2566	0.454	0.9027	0.9284	0.9056	0.9473	0.76	0.4397	0.1188	0.0547	0.0511	0.6663
