1	1	63	1
1	2	24	1
1	3	38	2
1	4	36	2
1	5	14	1
1	6	15	1
1	7	NA	NA
1	8	57	1
1	9	49	2
1	10	41	2
1	11	45	2
1	12	57	2
1	13	12	1
1	14	13	1
1	15	14	2
1	16	53	1
1	17	23	2
1	18	NA	NA
1	19	NA	NA
1	20	NA	NA
1	21	NA	NA
1	22	NA	NA
1	23	NA	NA
1	24	NA	NA
1	25	NA	NA
1	26	NA	NA
1	27	NA	NA
1	28	NA	NA
1	29	NA	NA
1	30	NA	NA
1	31	NA	NA
1	32	NA	NA
1	33	60	1
1	34	31	1
1	35	34	1
1	36	24	1
1	37	31	1
1	46	61	2
2	1	53	1
2	2	42	2
2	3	16	2
2	4	21	2
2	5	18	2
2	7	25	1
2	8	49	2
2	9	51	1
2	10	22	1
2	11	11	2
2	12	20	1
2	13	80	2
2	14	31	1
2	15	45	2
2	16	32	2
2	17	NA	NA
3	1	56	1
3	2	50	2
3	3	21	2
3	4	34	2
3	6	54	2
3	7	51	1
3	8	29	2
3	9	30	2
3	10	28	1
3	11	19	1
3	12	23	2
3	13	NA	NA
3	14	NA	NA
4	1	50	2
4	2	48	1
4	3	24	2
4	4	29	2
4	5	16	2
4	6	18	2
4	7	23	1
4	8	24	2
4	9	12	1
4	10	30	1
4	11	25	2
4	12	55	2
4	13	34	1
4	14	43	2
4	15	15	1
4	16	30	2
4	17	NA	NA
4	18	NA	NA
4	19	NA	NA
4	20	NA	NA
4	21	NA	NA
4	22	NA	NA
4	23	NA	NA
4	24	NA	NA
4	25	60	2
4	26	NA	NA
4	27	59	1
4	28	NA	NA
4	29	53	2
4	30	NA	NA
4	31	NA	NA
4	32	NA	NA
4	33	61	1
5	1	63	2
5	2	48	2
5	3	NA	NA
5	6	18	1
5	9	74	1
5	10	21	2
5	11	24	2
5	12	NA	NA
6	1	53	1
6	2	47	1
6	3	NA	NA
6	4	24	1
6	5	18	1
6	6	NA	NA
6	7	NA	NA
6	8	NA	NA
6	9	NA	NA
7	1	51	2
7	2	56	1
7	3	56	2
7	4	29	2
7	5	26	2
7	6	NA	NA
7	7	NA	NA
7	8	NA	NA
8	1	40	2
8	2	55	2
8	3	50	2
8	4	52	2
8	5	57	2
8	6	NA	1
8	7	NA	NA
9	1	50	1
9	2	43	2
9	3	70	2
9	4	41	2
9	5	27	1
9	6	NA	NA
9	7	NA	NA
9	8	NA	NA
9	9	NA	NA
9	10	NA	NA
9	11	NA	NA
9	12	NA	NA
9	13	NA	NA
10	1	73	2
10	2	38	1
10	3	58	1
10	4	55	2
10	5	20	2
10	6	41	2
10	7	NA	NA
10	8	NA	NA
10	9	NA	NA
10	10	NA	NA
10	11	NA	NA
10	12	NA	NA
10	13	NA	NA
